0,341.194
0,9.642
1,12.489
0,25.457
1,27.458
2,29.355
0,610.919
1,623.838
2,625.149
3,651.723
3,350.329
4,351.466
0,615.952
1,620.083
2,615.881
0,575.703
1,575.819
2,573.643
3,575.846
4,570.169
5,571.533
0,571.044
1,574.792
2,576.586
3,572.893
4,574.011
5,578.819
6,573.738
0,613.173
1,616.806
2,616.594
3,617.364
4,617.749
5,615.517
6,617.82
7,617.788
0,596.831
1,601.324
2,598.283
3,602.451
4,598.479
5,598.303
6,601.308
7,602.346
8,602.328
0,613.223
1,615.764
2,618.523
3,612.987
4,615.744
5,614.235
6,614.019
7,618.2
8,615.739
9,612.263
0,357.297
1,354.543
2,357.171
3,357.734
4,358.107
5,357.605
6,352.008
7,354.867
8,353.42
9,354.888
10,353.96
0,664.743
1,661.487
2,666.524
3,667.733
4,663.974
5,663.518
6,666.996
7,661.589
8,666.045
9,660.693
10,664.378
11,660.165
0,633.028
1,623.025
2,632.927
3,632.915
4,622.009
5,624.06
6,624.737
7,631.359
8,624.065
9,634.274
10,625.501
11,634.321
12,624.812
0,654.624
1,648.328
2,650.562
3,651.917
4,653.974
5,655.269
6,655.084
7,649.601
8,647.394
9,656.128
10,655.58
11,654.793
12,646.767
13,650.808
0,856.909
1,860.845
2,860.437
3,861.224
4,856.396
5,856.791
6,857.859
7,860.456
8,859.317
9,852.797
10,860.129
11,858.441
12,855.771
13,860.333
14,861.875
0,658.845
1,659.734
2,653.496
3,659.216
4,660.142
5,654.687
6,660.76
7,657.567
8,661.574
9,655.32
10,661.707
11,656.558
12,656.715
13,659.053
14,655.659
15,661.043
0,906.76
1,884.852
2,903.512
3,900.808
4,904.724
5,911.629
6,906.546
7,912.407
8,912.349
9,905.963
10,913.47
11,901.218
12,893.821
13,886.983
14,885.691
15,912.217
16,906.725
0,600.568
1,602.336
2,599.43
3,607.03
4,599.462
5,608.52
6,600.976
7,604.351
8,596.428
9,608.526
10,599.634
11,608.614
12,606.923
13,609.045
14,607.399
15,601.965
16,607.872
17,610.317
0,668.697
1,667.955
2,665.631
3,670.664
4,659.939
5,670.911
6,668.897
7,669.397
8,663.029
9,670.098
10,664.088
11,666.659
12,666.262
13,663.647
14,667.295
15,668.08
16,665.924
17,670.093
18,665.106
0,666.374
1,672.401
2,673.119
3,669.838
4,664.88
5,669.66
6,663.823
7,674.229
8,673.386
9,675.044
10,668.053
11,666.528
12,674.36
13,675.852
14,674.233
15,675.369
16,673.962
17,672.181
18,670.479
19,675.455
0,675.039
1,663.443
2,652.248
3,676.73
4,678.475
5,678.894
6,675.947
7,663.746
8,668.158
9,675.535
10,652.701
11,674.319
12,672.057
13,675.585
14,678.597
15,663.179
16,649.212
17,678.222
18,676.289
19,678.357
20,678.096
0,629.349
1,632.554
2,611.462
3,626.883
4,630.34
5,631.939
6,629.823
7,608.045
8,629.258
9,625.911
10,622.917
11,631.074
12,616.006
13,618.175
14,617.745
15,630.75
16,630.341
17,632.125
18,627.049
19,608.983
20,630.551
21,632.316
0,611.891
2,620.355
3,614.082
4,619.907
5,622.849
6,603.608
7,614.851
8,616.784
9,622.62
10,613.895
11,612.734
12,620.345
13,618.795
14,620.506
15,614.853
16,624.187
17,624.631
18,613.001
19,615.778
20,621.774
21,616.3
22,606.476
1,609.82
0,643.227
1,655.421
2,654.071
3,656.075
4,654.536
5,653.743
6,654.352
7,644.876
8,654.743
9,652.738
10,652.157
11,657.525
12,654.455
13,653.898
14,644.185
15,656.331
16,644.387
17,653.137
19,653.672
20,644.283
21,654.194
22,652.853
23,650.812
18,642.097
